,open,high,low,close,adj_close,volume,dividend
1999-12-31,102.56,122.12,102.25,107.87,54.3414,158626300,0.0
2000-01-31,112.44,124.75,109.62,112.25,56.5479,175259600,0.0
2000-02-29,112.37,119.75,100.94,102.75,51.8144,133524400,0.12
2000-03-31,102.0,128.25,99.5,118.37,59.6912,194329000,0.0
2000-04-28,120.0,128.0,101.25,111.5,56.2268,168464800,0.0
2000-05-31,112.5,113.62,102.0,107.31,54.178,123803200,0.13
2000-06-30,107.56,122.31,105.5,109.56,55.314,136216300,0.0
2000-07-31,108.75,117.81,100.0,112.25,56.6721,150130400,0.0
2000-08-31,112.0,134.25,110.25,132.02,66.7263,121998000,0.13
2000-09-29,133.06,134.94,110.25,112.62,56.9211,107468400,0.0
2000-10-31,112.62,119.62,86.94,98.5,49.7844,223510000,0.0
2000-11-30,98.44,104.37,91.62,93.5,47.3187,130411900,0.13
2000-12-29,94.44,104.75,80.06,85.0,43.017,167790700,0.0
2001-01-31,84.5,116.75,83.75,112.0,56.6813,198962600,0.0
2001-02-28,112.4,118.64,99.1,99.9,50.6139,156438900,0.13
2001-03-30,99.3,108.4,87.65,96.18,48.7292,254550000,0.0
2001-04-30,97.45,118.05,90.05,115.14,58.3352,226210900,0.0
2001-05-31,115.85,119.9,110.96,111.8,56.7104,159356200,0.14
2001-06-29,112.5,119.0,111.1,113.5,57.5727,142929700,0.0
2001-07-31,113.5,115.4,101.56,105.21,53.3676,161016400,0.0
2001-08-31,105.35,110.09,98.86,99.95,50.7676,143401500,0.14
2001-09-28,100.15,103.13,87.49,91.72,46.5873,189312500,0.0
2001-10-31,91.72,112.1,91.34,108.07,54.892,224351500,0.0
2001-11-30,107.25,117.0,106.9,115.59,58.7838,135136300,0.14
2001-12-31,114.8,124.7,113.21,120.96,61.5147,133393800,0.0
2002-01-31,120.6,126.39,101.0,107.89,54.8679,193562900,0.0
2002-02-28,107.64,109.3,95.76,98.12,49.9649,172321000,0.14
2002-03-28,98.6,108.85,98.5,104.0,52.9591,151268500,0.0
2002-04-30,104.0,104.0,83.34,83.76,42.6524,246503300,0.0
2002-05-31,83.85,86.49,75.92,80.45,41.0415,172738400,0.15
2002-06-28,80.75,80.95,66.1,72.0,36.7307,190980700,0.0
2002-07-31,72.01,74.2,65.7,70.4,35.9145,246256900,0.0
2002-08-30,70.4,82.85,65.85,75.38,38.5384,166322300,0.15
2002-09-30,74.2,77.5,57.99,58.31,29.8113,185664400,0.0
2002-10-31,59.2,79.79,54.01,78.94,40.3585,285626300,0.0
2002-11-29,78.9,88.11,76.7,86.92,44.52,184438100,0.15
2002-12-31,88.6,89.46,75.6,77.5,39.6951,151563500,0.0
2003-01-31,78.8,88.95,77.02,78.2,40.0537,193933500,0.0
2003-02-28,78.2,80.05,74.31,77.95,40.0029,145672700,0.15
2003-03-31,78.9,84.9,73.17,78.43,40.2492,191937200,0.0
2003-04-30,78.5,86.49,78.12,84.9,43.5695,177874300,0.0
2003-05-30,85.3,90.4,84.45,88.04,45.2643,149548000,0.16
2003-06-30,89.0,89.08,79.81,82.5,42.416,184488300,0.0
2003-07-31,81.4,87.03,80.58,81.25,41.7734,153915600,0.0
2003-08-29,81.15,84.72,78.73,82.01,42.2487,113895200,0.16
2003-09-30,82.4,93.47,82.3,88.33,45.5046,171943100,0.0
2003-10-31,88.75,94.54,87.53,89.48,46.097,156145400,0.0
2003-11-28,89.9,91.48,87.72,90.54,46.7266,97966100,0.16
2003-12-31,90.9,94.12,90.03,92.68,47.831,116103600,0.0
2004-01-30,92.86,99.85,89.01,99.23,51.2114,139368500,0.0
2004-02-27,99.15,100.43,95.2,96.5,49.883,97741900,0.16
2004-03-31,96.5,97.6,90.28,91.84,47.4742,124483700,0.0
2004-04-30,91.67,94.55,88.01,88.17,45.5771,110632000,0.0
2004-05-28,88.13,89.75,85.12,88.59,45.8875,104707300,0.18
2004-06-30,88.09,91.21,87.3,88.15,45.6595,91968600,0.0
2004-07-30,88.28,88.44,83.42,87.07,45.1001,121001000,0.0
2004-08-31,86.87,87.39,81.9,84.69,43.9619,91169700,0.18
2004-09-30,84.05,87.28,83.24,85.74,44.507,93906300,0.0
2004-10-29,85.95,90.27,84.29,89.75,46.5885,118116100,0.0
2004-11-30,89.33,96.63,89.23,94.24,49.0136,114982100,0.18
2004-12-31,94.5,99.0,94.47,98.58,51.2708,108170400,0.0
2005-01-31,98.97,99.1,91.44,93.42,48.5871,114459000,0.0
2005-02-28,93.67,94.97,91.55,92.58,48.2423,79707700,0.18
2005-03-31,92.64,93.73,89.09,91.38,47.617,106145200,0.0
2005-04-29,91.49,91.76,71.85,76.38,39.8007,216745500,0.0
2005-05-31,76.88,78.11,72.5,75.55,39.4728,138416000,0.2
2005-06-30,75.57,77.73,73.45,74.2,38.7675,135542800,0.0
2005-07-29,74.3,85.11,74.16,83.46,43.6056,156801500,0.0
2005-08-31,83.0,84.2,79.87,80.62,42.2228,105031100,0.2
2005-09-30,80.16,82.11,76.93,80.22,42.0133,115681400,0.0
2005-10-31,80.22,84.6,78.7,81.88,42.8827,139881800,0.0
2005-11-30,81.85,89.94,80.64,88.9,46.6712,110664500,0.2
2005-12-30,89.15,89.92,81.56,82.2,43.1538,120052400,0.0
2006-01-31,82.45,85.03,80.21,81.3,42.6813,146491600,0.0
2006-02-28,80.9,82.24,78.93,80.24,42.2291,111052200,0.2
2006-03-31,80.01,84.99,79.51,82.47,43.4027,111514900,0.0
2006-04-28,82.72,84.45,80.63,82.34,43.3343,114007000,0.0
2006-05-31,82.59,83.69,79.0,79.9,42.2024,113146500,0.3
2006-06-30,79.89,80.87,76.06,76.82,40.5756,139457800,0.0
2006-07-31,77.54,78.53,72.73,77.41,40.8872,137188300,0.0
2006-08-31,76.86,81.68,74.9,80.97,42.9379,100880300,0.3
2006-09-29,81.13,83.79,79.31,81.94,43.4522,102776100,0.0
2006-10-31,81.76,92.68,81.56,92.33,48.962,170367300,0.0
2006-11-30,92.5,94.05,90.43,91.92,48.9025,104430000,0.3
2006-12-29,91.9,97.88,90.55,97.15,51.6849,104470200,0.0
2007-01-31,97.17,100.9,94.55,99.15,52.749,192702000,0.0
2007-02-28,98.97,100.44,92.47,92.94,49.5942,125776200,0.3
2007-03-30,90.25,95.81,88.77,94.26,50.2986,163194500,0.0
2007-04-30,94.51,103.0,93.911,102.21,54.5408,166807200,0.0
2007-05-31,102.06,108.05,101.35,106.6,57.1037,146441400,0.4
2007-06-29,106.62,107.24,101.56,105.25,56.3805,169602000,0.0
2007-07-31,105.39,118.82,104.58,110.65,59.2732,212757600,0.0
2007-08-31,110.39,117.35,103.7,116.69,62.73,202871500,0.4
2007-09-28,116.34,118.89,114.3,117.8,63.3267,132233800,0.0
2007-10-31,117.61,121.46,110.96,116.12,62.4236,171669000,0.0
2007-11-30,115.5,116.09,99.27,105.18,56.7461,200920600,0.4
2007-12-31,105.45,112.19,104.0,108.1,58.3215,134151600,0.0
2008-01-31,108.99,108.99,97.04,107.11,57.7873,247523900,0.0
2008-02-29,107.21,116.63,100.6,113.86,61.6663,168280800,0.4
2008-03-31,114.09,119.79,111.8,115.14,62.3595,179284200,0.0
