Model,RMSE,MAE,R²
XGBoost,3.3234380133150134,3.0981501290893556,-6.512638234275931
LSTM,3.4743597269534234,3.256600169808524,-6.617897753958107
Prophet,6.832708648529774,5.34661320531651,-45.355949424908786
