Model,RMSE,MAE,R²
LSTM,4.387009277113817,3.5410785237630216,-1.8602078022386146
XGBoost,6.286971415859385,5.312983692932129,-5.96567100022896
Prophet,17.526652225223614,15.85095465054935,-17.307883693752046
