Model,RMSE,MAE,R²
Prophet,17.932900860871875,15.22280109624515,-4.621125425889817
XGBoost,22.17536570727943,20.324623704223633,-5.28359675950583
LSTM,31.346165811261905,30.58715679670061,-19.903673770479767
