Model,RMSE,MAE,R²
Prophet,125.38053650426346,119.34705739760935,-75.55316845789594
XGBoost,130.21407776229657,128.7659508984375,-133.62230645976086
LSTM,357.6059361643042,357.4214578351702,-968.4663892250126
