Model,RMSE,MAE,R²
Prophet,30.837887200869947,24.30814718701259,-5.963291352204288
XGBoost,43.40947983351562,40.33738841430663,-12.554246684288456
LSTM,107.16376036094623,106.81549869210377,-153.12914339319724
