Model,RMSE,MAE,R²
LSTM,1.9393312613553308,1.5363196886335106,-0.0006573553459345849
XGBoost,3.965885982955801,3.5225778082275396,-1.3600173560026008
Prophet,9.4794840885495,7.631795578308437,-9.873623191094607
