Model,RMSE,MAE,R²
LSTM,1.578639071080244,1.3191322479248047,-0.005938055892352523
XGBoost,9.748921051902729,8.59537215637207,-26.875888651663523
Prophet,13.154700982943888,10.532217867512312,-162.3479795790024
