Model,RMSE,MAE,R²
Prophet,48.13393906607545,35.47387812809358,-1.0480698196251907
LSTM,63.560970349752466,52.95366543678978,-2.2687621419317128
XGBoost,73.89815152684338,61.286782792295256,-2.1633555722900897
