Model,RMSE,MAE,R²
XGBoost,62.7763374892541,60.5657994165039,-13.499367996628536
Prophet,109.5665486567322,54.82015033886398,-18.168456346079537
LSTM,157.5111387399232,157.0753118512835,-179.91852678903487
