Model,RMSE,MAE,R²
LSTM,0.7843203639423713,0.6973162789481021,-0.1386133825444833
Prophet,4.352638717418375,3.8157503178398913,-25.84360882073566
XGBoost,4.4063326855692155,3.3440563829040526,-6.699323777004091
