Model,RMSE,MAE,R²
XGBoost,2.6952663435791258,2.4447459243774414,-4.145905111175835
LSTM,3.7177918097339036,3.52724186226981,-9.114973061456206
Prophet,15.294157081124402,8.690719726042685,-225.49291511194804
