Model,RMSE,MAE,R²
XGBoost,4.576262008444892,4.046349827270507,-1.5032813872220285
LSTM,10.568451817361892,10.232404256766184,-14.983620885021086
Prophet,34.54505014822589,19.55081223788535,-184.68821570705722
