Model,RMSE,MAE,R²
XGBoost,64.50084170333571,50.57318737792969,0.3138554300994446
Prophet,111.48082307718647,97.93437216041573,-4.137769958103348
LSTM,215.83442662583255,204.352691519601,-8.65575619801918
