Model,RMSE,MAE,R²
LSTM,1.1513910503012987,1.0144795436314173,-0.046932463142275394
XGBoost,1.4185747826398225,1.0106950021362304,-0.45831519814664956
Prophet,4.7847358622771266,3.681664233812968,-20.44973711418586
