Model,RMSE,MAE,R²
LSTM,1.1772485250572298,1.060994121006557,-0.22525115647253768
XGBoost,2.0103584196065842,1.6538928337097167,-1.8592821377033593
Prophet,13.001296482911446,7.137266203593827,-88.40890823691996
